temperature,humidity,numVehicles,numPedestrians,ambulanceDetected,delay_time,time
19.9,75,23,1,false,4000,2024-12-15T14:49:58.017Z

19.9,75,23,1,false,4000,2024-12-15T14:49:59.450Z

19.9,75,23,1,false,4000,2024-12-15T14:50:01.465Z

19.9,75,23,1,false,4000,2024-12-15T14:50:02.766Z

19.9,75,30,1,false,4000,2024-12-15T14:50:04.601Z

19.9,75,30,1,false,4000,2024-12-15T14:50:06.023Z

19.9,75,30,1,false,4000,2024-12-15T14:50:08.194Z

19.9,75,30,1,false,4000,2024-12-15T14:50:10.931Z

19.9,75,30,1,false,4000,2024-12-15T14:50:12.313Z

19.9,75,30,1,false,4000,2024-12-15T14:50:13.955Z

19.9,75,27,1,false,4000,2024-12-15T14:50:16.197Z

19.9,75,27,1,false,4000,2024-12-15T14:50:17.636Z

19.9,75,27,2,false,4000,2024-12-15T14:50:19.068Z

19.9,75,27,2,false,4000,2024-12-15T14:50:21.287Z

19.9,75,21,2,false,4000,2024-12-15T14:50:24.750Z

19.9,75,21,2,false,4000,2024-12-15T14:50:28.105Z

19.9,75,21,0,false,4000,2024-12-15T14:50:28.611Z

19.9,75,21,0,false,4000,2024-12-15T14:50:30.761Z

19.9,75,21,0,false,4000,2024-12-15T14:50:32.781Z

19.9,75,23,0,false,4000,2024-12-15T14:50:36.274Z

19.9,75,23,0,false,4000,2024-12-15T14:50:37.264Z

19.9,75,23,1,false,4000,2024-12-15T14:50:38.839Z

19.9,75,23,1,false,4000,2024-12-15T14:50:40.701Z

19.9,75,23,1,false,4000,2024-12-15T14:50:42.527Z

19.9,75,29,1,false,4000,2024-12-15T14:50:44.369Z

19.9,75,29,1,false,4000,2024-12-15T14:50:46.138Z

19.9,75,29,1,false,4000,2024-12-15T14:50:47.577Z

19.9,75,29,1,false,4000,2024-12-15T14:50:49.246Z

19.9,75,29,1,false,4000,2024-12-15T14:50:50.738Z

19.9,75,21,1,false,4000,2024-12-15T14:50:56.061Z

19.9,75,21,1,false,4000,2024-12-15T14:50:57.812Z

19.9,75,21,2,false,4000,2024-12-15T14:50:59.706Z

19.9,75,21,2,false,4000,2024-12-15T14:51:05.109Z

19.9,75,21,2,false,4000,2024-12-15T14:51:06.907Z

19.9,75,21,1,false,4000,2024-12-15T14:51:08.626Z

19.9,75,21,1,false,4000,2024-12-15T14:51:10.717Z

19.9,75,21,1,false,4000,2024-12-15T14:51:12.730Z

19.9,75,21,1,false,4000,2024-12-15T14:51:14.286Z

19.9,75,28,1,false,4000,2024-12-15T14:51:15.906Z

19.9,75,28,1,false,4000,2024-12-15T14:51:17.500Z

19.9,75,28,1,false,4000,2024-12-15T14:51:19.164Z

19.9,75,28,1,false,4000,2024-12-15T14:51:20.683Z

19.9,75,28,1,false,4000,2024-12-15T14:51:22.332Z

19.9,75,28,1,false,4000,2024-12-15T14:51:24.018Z

19.9,75,26,1,false,4000,2024-12-15T14:51:25.594Z

19.9,75,26,1,false,4000,2024-12-15T14:51:27.258Z

19.9,75,26,1,false,4000,2024-12-15T14:51:28.740Z

19.9,75,26,1,false,4000,2024-12-15T14:51:33.184Z

19.9,75,25,1,false,4000,2024-12-15T14:51:36.824Z

19.9,75,25,1,false,4000,2024-12-15T14:51:38.406Z

19.9,75,25,0,false,4000,2024-12-15T14:51:40.000Z

19.9,75,25,0,false,4000,2024-12-15T14:51:41.772Z

19.9,75,26,0,false,4000,2024-12-15T14:51:46.069Z

19.9,75,26,0,false,4000,2024-12-15T14:51:48.279Z

19.9,75,26,1,false,4000,2024-12-15T14:51:57.415Z

19.9,75,28,1,false,4000,2024-12-15T14:51:59.000Z

